Year,Total population in thousands
1950,2477675
1951,2520969
1952,2565291
1953,2615251
1954,2665307
1955,2718650
1956,2773493
1957,2828512
1958,2887221
1959,2944996
1960,2995589
1961,3042877
1962,3093863
1963,3159510
1964,3232049
1965,3302377
1966,3371847
1967,3440987
1968,3509911
1969,3583712
1970,3657599
1971,3733181
1972,3807145
1973,3882457
1974,3958046
1975,4032988
1976,4105886
1977,4179126
1978,4252419
1979,4326896
1980,4404270
1981,4483746
1982,4565509
1983,4650460
1984,4733308
1985,4818365
1986,4905098
1987,4995029
1988,5086940
1989,5177649
1990,5269760
1991,5362592
1992,5449900
1993,5535471
1994,5619395
1995,5702060
1996,5784379
1997,5865914
1998,5947049
1999,6027575
2000,6107943
2001,6189855
2002,6271639
2003,6353177
2004,6434620
2005,6516883
2006,6599469
2007,6683363
2008,6768535
2009,6854661
2010,6941951
2011,7029254
2012,7116996
2013,7206401
2014,7294786
2015,7383241
2016,7469954
2017,7556993
2018,7642651
2019,7724928
2020,7804974
2021,7876932
2022,7941658
